fecha;emisor;porcentaje_precio;valor_nominal_usd;valor_efectivo_usd;fecha_emision;fecha_vencimiento;porcentaje_rendimiento;procedencia;observaciones
18/01/2023;IMPVET IMPORTADORA VETERINARIA CIA LTDA;98.1007;6865.22;6734.83;12/12/2022;11/04/2023;8.50;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
18/01/2023;IMPVET IMPORTADORA VETERINARIA CIA LTDA;98.0552;1473.75;1445.09;14/12/2022;13/04/2023;8.50;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
18/01/2023;IMPVET IMPORTADORA VETERINARIA CIA LTDA;98.0325;1382.97;1355.76;15/12/2022;14/04/2023;8.50;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
18/01/2023;SURGALARE SA;96.1436;36403.90;35000.01;18/01/2023;17/06/2023;9.50;Q;ACEPTANTE: ARTES GRAFICAS SENEFELDER - RUC: 0990004277001                                                                                             
18/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;95.2381;7115.21;6776.39;18/01/2023;17/07/2023;10.00;Q;ACEPTANTE: TOLKIEN S.A. - RUC: 0992645652001                                                                                                          
18/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;95.2381;9011.24;8582.13;18/01/2023;17/07/2023;10.00;Q;ACEPTANTE: TOLKIEN S.A. - RUC: 0992645652001                                                                                                          
18/01/2023;HIVIMAR SA;97.9672;50428.92;49403.79;12/12/2022;11/04/2023;9.00;G;ACEPTANTE: REPAPERS RECICLAJE DEL ECUADOR S.A. - RUC 0992800623001                                                                                    
19/01/2023;LIPROIN SA;98.6923;8609.43;8496.85;12/12/2022;12/03/2023;9.00;G;ACEPTANTE: REPAPERS RECICLAJE DEL ECUADOR S.A. - RUC 0992800623001                                                                                    
19/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;95.3516;6301.42;6008.51;19/01/2023;18/07/2023;9.75;Q;ACEPTANTE: TOLKIEN S.A. - RUC: 0992645652001                                                                                                          
19/01/2023;SURGALARE SA;95.5795;5231.25;5000.00;19/01/2023;18/07/2023;9.25;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
19/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;95.2381;6930.03;6600.03;19/01/2023;18/07/2023;10.00;Q;ACEPTANTE: TOLKIEN S.A. - RUC: 0992645652001                                                                                                          
19/01/2023;PRODUCTORA CARTONERA S.A.;95.5795;30978.06;29608.66;19/01/2023;18/07/2023;9.25;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
20/01/2023;VECTORQUIM CIA LTDA;95.5135;12638.02;12071.02;16/01/2023;15/07/2023;9.50;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
20/01/2023;VECTORQUIM CIA LTDA;95.5135;14397.75;13751.80;16/01/2023;15/07/2023;9.50;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
20/01/2023;PRODUCTORA CARTONERA S.A.;95.5795;22974.44;21958.84;20/01/2023;19/07/2023;9.25;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
20/01/2023;SURGALARE SA;96.5355;16000.00;15445.67;07/12/2022;05/06/2023;9.50;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
23/01/2023;INDUSTRIAL GEMINIS INDUGEM S.A;99.2310;26022.60;25822.48;26/09/2022;23/02/2023;9.00;G;ACEPTANTE: REPAPERS RECICLAJE DEL ECUADOR S.A. - RUC 0992800623001                                                                                    
23/01/2023;ROQUIMIM SA;98.0392;9373.47;9189.68;15/12/2022;14/04/2023;9.00;G;ACEPTANTE: REPAPERS RECICLAJE DEL ECUADOR S.A. - RUC 0992800623001                                                                                    
23/01/2023;SURGALARE SA;95.5325;2093.54;2000.01;23/01/2023;22/07/2023;9.25;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
23/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;95.1877;3752.99;3572.39;23/01/2023;22/07/2023;10.00;Q;ACEPTANTE: SURGALARE S.A. - RUC: 0992730048001                                                                                                        
24/01/2023;PRODUCTORA CARTONERA S.A.;95.5560;34421.68;32891.97;24/01/2023;23/07/2023;9.25;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
24/01/2023;PRODUCTORA CARTONERA S.A.;95.5560;34421.68;32891.97;24/01/2023;23/07/2023;9.25;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
24/01/2023;SURGALARE SA;96.1192;32398.65;31141.32;24/01/2023;26/06/2023;9.50;Q;ACEPTANTE: ARTES GRAFICAS SENEFELDER - RUC: 0990004277001                                                                                             
24/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;95.3642;50059.64;47738.99;24/01/2023;18/07/2023;10.00;Q;ACEPTANTE: SURGALARE S.A. - RUC: 0992730048001                                                                                                        
24/01/2023;SURGALARE SA;97.9672;3213.91;3148.58;24/01/2023;15/04/2023;9.00;Q;ACEPTANTE: ARTES GRAFICAS SENEFELDER - RUC: 0990004277001                                                                                             
24/01/2023;SURGALARE SA;96.5847;54674.89;52807.56;24/01/2023;07/06/2023;9.50;Q;ACEPTANTE: ARTES GRAFICAS SENEFELDER - RUC: 0990004277001                                                                                             
24/01/2023;PRODUCTORA CARTONERA S.A.;95.9923;14853.70;14258.41;09/01/2023;08/07/2023;9.00;G;ACEPTANTE: INDUSTRIAS ALES - RUC: 1390000991001                                                                                                       
24/01/2023;INDUSTRIAL GEMINIS INDUGEM S.A;98.6437;26171.91;25816.93;19/10/2022;18/03/2023;9.00;G;ACEPTANTE: REPAPERS RECICLAJE DEL ECUADOR S.A. - RUC 0992800623001                                                                                    
